Designator,Mid X,Mid Y,Layer,Rotation
ADR0,34.29,29.85,Top,270.0
ADR1,34.29,24.38,Top,270.0
ADR2,34.29,19.05,Top,270.0
C1,20.57,13.97,Top,0.0
C2,34.04,33.66,Top,0.0
C3,40.13, 4.32,Top,270.0
IC1,24.13,22.86,Top,90.0
IC2,39.12,23.50,Top,270.0
Q1,48.01, 4.45,Top,270.0
Q2,46.99, 9.91,Top,270.0
R3,34.93,14.48,Top,0.0
R4,43.56, 4.45,Top,90.0
R5,27.30,33.01,Top,180.0
R6,18.54,32.88,Top,180.0
R7,11.43,31.12,Top,180.0
R8, 5.08,29.03,Top,180.0
R9,11.05,26.42,Top,180.0
R10,12.70,22.23,Top,180.0
R11,12.70,18.56,Top,180.0
R12,12.70,15.11,Top,180.0
R13,39.24,18.54,Top,180.0
