Comment,Designator,Footprint,LCSC Part #
1k,L2 R303 R304,R0805,
1u,C5 C10 C24 C29 C307 C310,C0805,
2k2,R2 R3,R0805,
2n7,C30 C31 C32 C33 C34,C0805,
2n7 C0G,C35,C0805,
10k,R5,R0805,
10u,C2 C4 C6 C9,C0805,
10u,C16 C17,PANASONIC_B,
10u,C23,C0805,
10u,C36 C37 C38 C39 C201 C202 C203 C204 C205 C206 C301 C302,PANASONIC_B,
22u,C14,C0805,
100,R4,R0805,
100n,C1 C3 C7 C8 C11 C12 C22 C25 C28 C305,C0805,
100u,C19,C1206,
150,R1 R6 R7 R8 R9 R10 R201 R202 R203 R204 R205 R206,R0805,
150p C0G,C303 C304,C0805,
CIRRUS_LOGIC_CS42448-CQZCIRRUS_LOGIC_CS42448-CQZ_0_0,U1,CIRRUS_LOGIC_CS42448-CQZ_0,
CS5343-CZZ,IC2,SOP50P490X110-10N,
JUMPER-SMT_2_NC_TRACE_NO-SILK,AGND_DGND AGND_DGND1,SMT-JUMPER_2_NC_TRACE_NO-SILK,
JUMPER-SMT_3_1-NC_TRACE_SILK,JP_AD1,SMT-JUMPER_3_1-NC_TRACE_SILK,
LM358D,IC1,SO08,
MAX811LEUS+21-0052F-M,U2,21-0052F-M,
