Designator,Mid X,Mid Y,Layer,Rotation
AGND_DGND,38.81,17.78,Top,90.0
AGND_DGND1,40.97,17.81,Top,90.0
C1,14.22,33.66,Top,270.0
C2,25.76,68.55,Top,90.0
C3,59.56, 3.05,Top,0.0
C4,23.11,74.60,Top,270.0
C5,39.70,31.12,Top,270.0
C6,75.56,75.18,Top,270.0
C7,42.37,46.53,Top,270.0
C8,39.70,36.83,Top,90.0
C9,46.28, 4.45,Top,90.0
C10,13.97, 9.98,Top,270.0
C11,41.33,74.80,Top,90.0
C12,50.80,77.77,Top,90.0
C14,51.41,21.34,Top,270.0
C16,67.95,19.54,Top,180.0
C17,67.95,13.56,Top,180.0
C19,50.16,15.47,Top,180.0
C22,68.30, 3.05,Top,180.0
C23,40.17, 4.45,Top,90.0
C24,14.22,39.37,Top,90.0
C25,13.97, 4.45,Top,90.0
C28,74.83, 5.31,Top,270.0
C29,10.16, 4.45,Top,270.0
C30,61.60, 8.51,Top,90.0
C31,60.48,17.40,Top,0.0
C32,57.79,23.16,Top,90.0
C33,55.88,29.21,Top,90.0
C34,54.61,34.93,Top,180.0
C35,49.66,37.47,Top,180.0
C36,56.49,48.26,Top,270.0
C37,50.11,48.26,Top,270.0
C38,67.95,67.34,Top,180.0
C39,67.95,61.36,Top,180.0
C201,67.95,25.51,Top,180.0
C202,67.95,31.49,Top,180.0
C203,67.95,37.46,Top,180.0
C204,67.95,43.44,Top,180.0
C205,67.95,49.41,Top,180.0
C206,67.95,55.39,Top,180.0
C301,24.77,57.79,Top,270.0
C302,18.41,55.88,Top,270.0
C303,26.19,45.59,Top,90.0
C304,26.19,51.36,Top,270.0
C305,25.68,37.49,Top,90.0
C307,33.66,36.07,Top,270.0
C310,33.66,29.85,Top,90.0
IC1,20.96, 5.16,Top,270.0
IC2,29.21,30.00,Top,90.0
JP_AD1,44.09,25.93,Top,270.0
L2,50.80,71.76,Top,90.0
R1,67.31, 8.15,Top,180.0
R2,48.72,57.15,Top,270.0
R3,48.51,66.04,Top,90.0
R4,37.82,44.63,Top,0.0
R5,25.15,28.58,Top,270.0
R6,60.58,13.51,Top,180.0
R7,53.16,43.18,Top,270.0
R8,56.72,40.64,Top,270.0
R9,62.23,61.75,Top,270.0
R10,62.23,67.28,Top,270.0
R201,61.60,23.16,Top,270.0
R202,61.60,30.48,Top,270.0
R203,61.60,36.32,Top,270.0
R204,61.60,42.52,Top,270.0
R205,61.60,47.98,Top,270.0
R206,62.23,53.98,Top,270.0
R303, 9.73,66.80,Top,90.0
R304,13.08,66.85,Top,270.0
U1,38.73,17.78,Top,270.0
U2,43.43,38.18,Top,0.0
