"Part";"Value";"Device";"Package";"Description";"COLOR";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"PROD_ID";"SF_ID";
"ADR0";"JUMPER-SMT_3_1-NC_TRACE_SILK";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";"";"";"";"";"";"";"";"";
"ADR1";"JUMPER-SMT_3_1-NC_TRACE_SILK";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"Normally closed trace jumper (1 of 2 connections)";"";"";"";"";"";"";"";"";"";"";
"C3";"1u";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C4";"1u";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C5";"10u";"CP_SV-B";"CSV-B";"POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C6";"10u";"CP_SV-B";"CSV-B";"POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C7";"1u";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C8";"220pf";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C11";"10u";"CP_SV-B";"CSV-B";"POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C12";"10u";"CP_SV-B";"CSV-B";"POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C13";"1u";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C14";"1u";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C15";"47pf";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C16";"10u";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C17";"10u";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C18";"47pf";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C19";"47pf";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C20";"220pf";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"C21";"47pf";"C_0805";"C0805";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";
"H3";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"7";"";"";
"I2C_PAD";"A";"CONN_03X2SHROUD";"2X3-SHROUDED";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"CONN-10681";"PRT_10877";
"INPUT0";"NCJ9FI-H-0";"NCJ9FI-H-0";"NCJ9FI-H";"NCJ9FI Combination - 3 pin Female XLR - 3 pin 1/4" switched socket Combo I series";"";"";"";"";"";"";"";"";"";"";
"INPUT1";"NCJ9FI-H-0";"NCJ9FI-H-0";"NCJ9FI-H";"NCJ9FI Combination - 3 pin Female XLR - 3 pin 1/4" switched socket Combo I series";"";"";"";"";"";"";"";"";"";"";
"JP_GND";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"SMT-JUMPER_2_NC_TRACE_NO-SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";
