Comment,Designator,Footprint,LCSC Part #
1k,R4 R6,R0805,
1u,C3 C4 C7 C13 C14,C0805,
2k,R9 R10,R0805,
2k2,R1 R2,R0805,
10k,R3 R5,R0805,
10u,C5 C6 C11 C12,CSV-B,
10u,C16 C17,C0805,
22,R7 R8,R0805,
47pf,C15 C18 C19 C21,C0805,
100k,R11 R12,R0805,
220pf,C8 C20,C0805,
BC849SMD,Q1 Q2,SOT23-BEC,
JUMPER-SMT_2_NC_TRACE_NO-SILK,JP_GND,SMT-JUMPER_2_NC_TRACE_NO-SILK,
JUMPER-SMT_3_1-NC_TRACE_SILK,ADR0 ADR1,SMT-JUMPER_3_1-NC_TRACE_SILK,
LG_T679-E1F1-1,LED0 LED1,PLCC2,
MCP47CVB22-E_UN,U3,SOP50P490X110-10N,
TS472IQTQFN-VAR,U1 U2,QFN50P400X400X100-25N-VAR,
