Designator,Mid X,Mid Y,Layer,Rotation
ADR0, 3.07,19.05,Top,0.0
ADR1, 3.10,12.07,Top,0.0
C3,21.21, 9.53,Top,180.0
C4,32.36,19.71,Top,180.0
C5,15.88,25.40,Top,180.0
C6,29.72,32.05,Top,90.0
C7,32.36,26.04,Top,180.0
C8,15.24,34.29,Top,180.0
C11,39.47,24.36,Top,90.0
C12,60.58,33.07,Top,90.0
C13,58.83,26.52,Top,180.0
C14,58.85,20.27,Top,180.0
C15,21.26,34.34,Top,180.0
C16,12.57,19.89,Top,0.0
C17,43.61,17.22,Top,90.0
C18,39.47,38.61,Top,270.0
C19,52.65,34.29,Top,180.0
C20,46.05,34.29,Top,180.0
C21, 8.33,38.84,Top,270.0
JP_GND,18.77,13.08,Top,270.0
LED0,42.21,50.90,Top,90.0
LED1,10.46,50.90,Top,90.0
Q1,48.95,51.79,Top,90.0
Q2,17.83,51.94,Top,90.0
R1,34.90,38.68,Top,270.0
R2,60.55,43.46,Top,270.0
R3, 3.02, 4.70,Top,0.0
R4,34.29,49.05,Top,180.0
R5, 3.00,28.55,Top,0.0
R6, 3.15,48.16,Top,270.0
R7,30.48,11.56,Top,0.0
R8,17.78,19.84,Top,90.0
R9, 8.86,24.33,Top,90.0
R10,29.72,40.61,Top,270.0
R11,59.03,52.12,Top,0.0
R12,26.85,50.93,Top,0.0
U1,51.23,20.42,Top,270.0
U2,25.70,20.42,Top,270.0
U3,12.32,14.61,Top,180.0
