Designator,Mid X,Mid Y,Layer,Rotation
C1,60.83,18.67,Top,90.0
C2, 3.43,18.92,Top,90.0
C3,45.47,28.19,Top,90.0
C4,17.65,28.70,Top,90.0
C5, 3.81, 9.02,Top,180.0
C6,23.62,15.49,Top,90.0
C7, 3.81,29.21,Top,0.0
C8,23.11,22.23,Top,90.0
C9,59.82, 9.27,Top,0.0
C10,59.82,28.96,Top,180.0
C11,40.26,22.61,Top,90.0
C12,40.01,14.99,Top,90.0
C13,59.44,36.83,Top,90.0
C14,39.62,36.83,Top,90.0
C15,59.69, 1.91,Top,270.0
C16,39.37, 1.91,Top,270.0
C17,24.13, 1.91,Top,270.0
C18, 4.19, 1.91,Top,270.0
C19,24.13,36.83,Top,90.0
C20, 4.19,36.83,Top,90.0
IC1,52.71,19.05,Top,90.0
IC2,12.07,19.05,Top,90.0
R1,44.70,14.99,Top,90.0
R2,59.82,12.83,Top,0.0
R3,49.91, 9.53,Top,90.0
R4,53.98, 9.53,Top,90.0
R5,46.74, 4.32,Top,0.0
R6,44.70, 9.40,Top,90.0
R7,44.58,22.61,Top,90.0
R8,53.21, 2.79,Top,180.0
R9,45.34, 0.13,Top,90.0
R10,59.82,24.77,Top,180.0
R11,46.61,33.15,Top,180.0
R12,40.26,28.70,Top,90.0
R13,50.04,27.43,Top,90.0
R14,54.48,27.43,Top,90.0
R15,45.47,37.97,Top,90.0
R16,52.96,34.67,Top,0.0
R17, 3.81,12.70,Top,180.0
R18,19.30,15.49,Top,90.0
R19, 9.78,10.16,Top,90.0
R20,14.35,10.16,Top,90.0
R21,20.32,10.29,Top,180.0
R22,14.10, 5.97,Top,180.0
R23,18.54, 1.78,Top,90.0
R24,10.41, 3.18,Top,0.0
R25, 3.81,24.89,Top,0.0
R26,19.18,22.23,Top,90.0
R27,23.50,27.05,Top,0.0
R28,22.73,30.48,Top,0.0
R29, 9.53,28.58,Top,90.0
R30,13.97,28.58,Top,90.0
R31,10.16,35.05,Top,180.0
R32,17.53,35.05,Top,0.0
